,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3.0,,,,,,,,,,,,,,,
2,5.0,,,,,,,,,,,,,,,
3,731.0,,,,,,,,,,,,,,,
4,7.0,,,,,,,,,,,,,,,
5,1196.0,,,,,,,,,,,,,,,
6,13.0,,,,,,,,,,,,,,,
7,15.0,,,,,,,,,,,,,,,
8,16.0,,,,,,,,,,,,,,,
9,18.0,,,,,,,,,,,,,,,
10,20.0,,,,,,,,,,,,,,,
11,21.0,,,,,,,,,,,,,,,
12,22.0,,,,,,,,,,,,,,,
13,24.0,,,,,,,,,,,,,,,
14,27.0,,,,,,,,,,,,,,,
15,29.0,,,,,,,,,,,,,,,
16,30.0,,,,,,,,,,,,,,,
17,31.0,,,,,,,,,,,,,,,
18,33.0,,,,,,,,,,,,,,,
19,34.0,,,,,,,,,,,,,,,
20,809.0,,,,,,,,,,,,,,,
21,37.0,,,,,,,,,,,,,,,
22,38.0,,,,,,,,,,,,,,,
23,43.0,,,,,,,,,,,,,,,
24,45.0,,,,,,,,,,,,,,,
25,48.0,,,,,,,,,,,,,,,
26,52.0,,,,,,,,,,,,,,,
27,56.0,,,,,,,,,,,,,,,
28,57.0,,,,,,,,,,,,,,,
29,58.0,,,,,,,,,,,,,,,
30,61.0,,,,,,,,,,,,,,,
31,62.0,,,,,,,,,,,,,,,
32,65.0,,,,,,,,,,,,,,,
33,67.0,,,,,,,,,,,,,,,
34,68.0,,,,,,,,,,,,,,,
35,71.0,,,,,,,,,,,,,,,
36,73.0,,,,,,,,,,,,,,,
37,75.0,,,,,,,,,,,,,,,
38,76.0,,,,,,,,,,,,,,,
39,77.0,,,,,,,,,,,,,,,
40,78.0,,,,,,,,,,,,,,,
41,80.0,,,,,,,,,,,,,,,
42,81.0,,,,,,,,,,,,,,,
43,82.0,,,,,,,,,,,,,,,
44,83.0,,,,,,,,,,,,,,,
45,85.0,,,,,,,,,,,,,,,
46,88.0,,,,,,,,,,,,,,,
47,90.0,,,,,,,,,,,,,,,
48,91.0,,,,,,,,,,,,,,,
49,92.0,,,,,,,,,,,,,,,
50,95.0,,,,,,,,,,,,,,,
51,96.0,,,,,,,,,,,,,,,
52,97.0,,,,,,,,,,,,,,,
53,101.0,,,,,,,,,,,,,,,
54,106.0,,,,,,,,,,,,,,,
55,107.0,,,,,,,,,,,,,,,
56,108.0,,,,,,,,,,,,,,,
57,109.0,,,,,,,,,,,,,,,
58,111.0,,,,,,,,,,,,,,,
59,113.0,,,,,,,,,,,,,,,
60,116.0,,,,,,,,,,,,,,,
61,117.0,,,,,,,,,,,,,,,
62,122.0,,,,,,,,,,,,,,,
63,959.0,,,,,,,,,,,,,,,
64,124.0,,,,,,,,,,,,,,,
65,512.0,,,,,,,,,,,,,,,
66,127.0,,,,,,,,,,,,,,,
67,128.0,,,,,,,,,,,,,,,
68,130.0,,,,,,,,,,,,,,,
69,131.0,,,,,,,,,,,,,,,
70,132.0,,,,,,,,,,,,,,,
71,135.0,,,,,,,,,,,,,,,
72,136.0,,,,,,,,,,,,,,,
73,137.0,,,,,,,,,,,,,,,
74,139.0,,,,,,,,,,,,,,,
75,140.0,,,,,,,,,,,,,,,
76,142.0,,,,,,,,,,,,,,,
77,144.0,,,,,,,,,,,,,,,
78,146.0,,,,,,,,,,,,,,,
79,150.0,,,,,,,,,,,,,,,
80,151.0,,,,,,,,,,,,,,,
81,153.0,,,,,,,,,,,,,,,
82,157.0,,,,,,,,,,,,,,,
83,158.0,,,,,,,,,,,,,,,
84,159.0,,,,,,,,,,,,,,,
85,169.0,,,,,,,,,,,,,,,
86,170.0,,,,,,,,,,,,,,,
87,171.0,,,,,,,,,,,,,,,
88,174.0,,,,,,,,,,,,,,,
89,178.0,,,,,,,,,,,,,,,
90,179.0,,,,,,,,,,,,,,,
91,180.0,,,,,,,,,,,,,,,
92,182.0,,,,,,,,,,,,,,,
93,186.0,,,,,,,,,,,,,,,
94,188.0,,,,,,,,,,,,,,,
95,190.0,,,,,,,,,,,,,,,
96,191.0,,,,,,,,,,,,,,,
97,192.0,,,,,,,,,,,,,,,
98,193.0,,,,,,,,,,,,,,,
