RelationshipId,PassengerId1,PassengerId2,RelationshipType,Survived1,Survived2
0,1,478,Brother,False,False
1,2,551,Extended,True,True
2,2,582,Extended,True,True
3,2,699,Extended,True,False
4,2,1126,Spouse,True,
5,4,138,Spouse,True,False
6,6,110,Extended,False,True
7,6,769,Extended,False,False
8,8,25,Sister,False,False
9,8,375,Sister,False,False
10,8,568,Mother,False,False
11,8,1281,Brother,False,
12,9,173,Daughter,True,True
13,9,303,Extended,True,False
14,9,598,Extended,True,False
15,9,720,Extended,True,False
16,9,870,Son,True,True
17,10,123,Spouse,True,False
18,11,395,Mother,True,True
19,11,1009,Sister,True,
20,12,1292,Extended,True,
21,14,69,Extended,False,True
22,14,120,Daughter,False,False
23,14,147,Extended,False,True
24,14,542,Daughter,False,False
25,14,543,Daughter,False,False
26,14,611,Spouse,False,False
27,14,814,Daughter,False,False
28,14,851,Son,False,False
29,14,982,Extended,False,
30,14,1106,Extended,False,
31,14,1212,Extended,False,
32,17,172,Brother,False,False
33,17,279,Brother,False,False
34,17,788,Brother,False,False
35,17,886,Mother,False,False
36,17,947,Brother,False,
37,19,39,Extended,False,False
38,19,334,Extended,False,False
39,19,1037,Spouse,False,
40,23,1098,Extended,True,
41,25,8,Brother,False,False
42,25,375,Sister,False,False
43,25,568,Mother,False,False
44,25,1281,Brother,False,
45,26,104,Extended,True,False
46,26,183,Son,True,False
47,26,234,Daughter,True,True
48,26,262,Son,True,True
49,26,396,Extended,True,False
50,26,806,Extended,True,False
51,26,1046,Son,True,
52,26,1066,Spouse,True,
53,26,1118,Extended,True,
54,26,1191,Extended,True,
55,26,1271,Son,True,
56,28,89,Sister,False,True
57,28,342,Sister,False,True
58,28,439,Father,False,False
59,28,945,Sister,False,
60,28,961,Mother,False,
61,32,1208,Spouse,True,
62,35,376,Spouse,False,True
63,36,384,Spouse,False,True
64,39,19,Extended,False,False
65,39,334,Brother,False,False
66,39,1037,Brother,False,
67,40,126,Brother,True,True
68,41,232,Extended,False,False
69,41,714,Extended,False,False
70,42,118,Spouse,False,False
71,44,609,Mother,True,True
72,44,686,Father,True,False
73,44,1188,Sister,True,
74,47,1165,Sister,False,
75,49,921,Brother,False,
76,49,1189,Brother,False,
77,50,354,Spouse,False,False
78,51,165,Brother,False,False
79,51,267,Brother,False,False
80,51,639,Mother,False,False
81,51,687,Brother,False,False
82,51,825,Brother,False,False
83,53,646,Spouse,True,True
84,54,1169,Spouse,True,
85,55,918,Daughter,False,
86,59,451,Father,True,False
87,59,473,Mother,True,True
88,59,1142,Sister,True,
89,60,72,Sister,False,False
90,60,387,Brother,False,False
91,60,481,Brother,False,False
92,60,679,Mother,False,False
93,60,684,Brother,False,False
